relation_path,entity_path
34 34 34 34 34 34 34 31,4 1927 1996 247 2008 364 977 1254 46
34 34 34 34 34 31,4 789 1822 1299 907 1898 826
22 34 34 34 34,871 364 2008 1740 1927 4
37 29 25 11 15 34 34 34 34 34,1795 1236 1796 1634 1968 1838 878 1927 1683 260 4
34 31,4 1030 1876
31 15 34 34 34 34 34 34 34 34,1979 1026 1286 690 1792 1326 1303 260 1334 789 4
31 15 34 34 34 34 34,1843 578 1142 162 260 1809 1927 4
34 34 34 34 34 34 34 34 34 31,4 484 1915 1929 2008 1812 353 1762 1949 113 1560
34 34 34 34 34 34 34 34 31,4 1927 1691 247 49 2024 1030 1123 1544 1247
34 34 31,5 484 49 1906
37 22 34,1732 747 1030 5
22 34 34 34 34 34 34 34,943 1286 907 1927 31 17 1949 260 5
22 34,1897 353 5
37 37 37 22 34 34 34 34,313 293 1982 1381 484 819 1299 353 5
34 31,5 1331 1247
22 34 34 34,296 1030 27 353 5
34 34 34 34,5 484 247 1664 1408
21 5 22 34,1409 1651 1302 1030 5
15 23,5 624 1413
34 34,5 1331 1408
15 34 34 34 34 34 34 34 34 34,567 1780 1673 43 1331 552 257 1046 1254 789 5
22 34 34,37 1805 484 5
37 37 22 34 34 34,746 1104 395 1030 1753 789 5
34 34 34 34 34 34 34 34 34 34,425 1969 260 1740 321 1346 1142 1886 1280 789 5
34 34 28,5 484 1759 212
22 34 34 34 34 34 34,1459 1030 56 484 1886 1280 789 5
22 34 34 34 34,1565 484 552 1179 1331 5
34 34 34 34 34 34 31,5 353 779 819 1927 2024 49 576
37 22 34 34 34,621 761 364 552 1331 5
34 34 28,6 1030 31 518
34 34 34 34 34 34 34 34 34 34,55 2005 321 1886 623 1303 759 1316 1326 1927 6
34 34 34 34 31,6 260 1831 321 2010 1913
22 34 34,472 1030 282 6
35 15 34 34 34 34 34,1044 438 364 106 789 924 1927 6
22 34,391 282 6
22 34 34 34 34,184 257 484 1869 353 6
34 31,6 2008 1913
22 34 34 34,1625 1303 727 353 6
34 34 34 31,6 1030 2024 260 1560
34 34 34 34 34 34 31,6 1030 2010 1673 1866 353 20 452
34 34 31,6 353 1917 1808
17 15 34,1391 1662 282 6
22 34 34 34 34 34 34 34,541 1030 768 1303 104 2002 917 1949 6
22 34 34 34 34 34,730 257 1179 739 1937 353 6
37 22 34 34,405 610 1286 353 6
34 34,6 2008 1408
17 34 34 34 34 34 34 34 34,926 1838 19 1331 16 353 1886 1687 1927 6
34 34 34 34 34 31,6 484 55 1915 1831 1863 1723
37 22 34 34 34 34,1650 1614 484 1664 260 1971 6
34 34 34 34 34 34 34 34 34 34,1018 260 1303 1869 1933 1291 977 1714 1331 1971 7
31 15 34,1787 1686 484 7
34 34 31,7 789 947 1408
22 34 34 34 34,487 353 6 260 1971 7
31 15 34 34,1601 1882 353 31 7
22 34 34 34 34 34 34,287 247 496 789 907 22 484 7
22 34 34,1769 484 31 7
22 34,1320 31 7
37 37 22 34 34 34 34,189 504 1057 321 1753 1927 1971 7
35 34 34 34 34,433 1030 789 947 1927 7
13 15 34 34 34 34 34 34 34 34,1593 1610 1030 5 484 35 260 1809 1927 1971 7
34 34 34 34 34 31,7 789 1753 1030 1110 685 1877
35 34,1343 247 7
34 34 34 31,7 484 1207 247 576
22 34 34 34 34 34 34 34,1206 257 1847 1903 1915 1927 1809 789 7
37 37 22 34,492 1734 1580 247 7
18 15 34,1636 1035 484 7
37 22 34,342 1170 484 7
34 34 23,7 484 1698 1535
22 34 34 34 34 34 34 34 34 34,336 1273 1838 32 1179 1825 321 2028 1331 1971 7
37 37,602 981 8
29 25 25 37,1210 835 1130 981 8
18 15 34 31,8 1653 1030 2017 1877
30 37 37,794 1257 981 8
29 25 25 25 25 37,1210 1130 835 204 1175 981 8
29 37,1210 981 8
18 15 31,8 1653 1030 826
29 25 37,1210 835 981 8
29 25 25 25 37,1210 731 1098 835 981 8
18 15 34 34 34 31,8 1653 1030 2010 484 1854 452
22 34 31,8 1030 1691 1806
18 23,8 1653 1480
22 34 34 31,8 1030 1303 1861 1860
37 29 20 37,1375 1033 860 981 8
22 16,8 1030 1486
22 34 34 34 34 34 34 34 34 34,8 1030 1919 1179 162 1544 1299 947 260 1284 1123
14 20 29 20 37,1283 1033 837 860 981 8
37 20 29 20 37,1375 1033 837 860 981 8
22 34 34 34 31,8 1030 1937 1749 321 576
22 34 34 34 34 34 34 34 31,8 1030 48 1927 1949 1915 759 1830 1931 1247
22 23,9 439 1413
22 34 34 34 34 31,9 1254 1927 6 2008 552 576
22 31,9 1254 551
22 34 31,9 1254 1937 551
22 28,9 439 1655
22 34 34 34 34 34 31,9 1254 977 1915 1291 1933 1825 1913
22 34 34 34 23,9 1254 104 2001 31 263
22 34 34 34 27,9 1254 1830 1927 2005 964
22 34 34 31,9 1254 247 1273 1144
22 34 34 34 34 34 34 31,9 1254 1207 768 789 1046 1792 1822 1663
22 34 34 34 31,9 1254 484 425 1919 1877
34 34 23,10 484 1830 1461
37 22 34 34 34 34 34 34 34 34,1484 1376 257 737 1915 1280 1030 1679 1927 1960 10
22 34 34 34 34 34 34,470 977 106 1927 685 552 260 10
34 34 31,10 1960 1299 1945
37 37 22 34 34 34,509 242 1170 484 2002 789 10
37 37 22 34 34 34 34 34,566 1880 1953 690 1907 1179 1837 789 10
34 34 34 34 34 34 34 34 34 34,2008 1299 1809 1927 55 1346 1923 260 2001 353 10
22 34 34 34 34 34 34 34 34 34,1905 1286 1346 22 1673 819 1303 755 789 878 10
34 31,10 484 65
32 34 34 34 34 34,1283 1030 789 1802 2008 39 10
22 34,399 353 10
18 34 34 34 34,1379 1822 789 739 1397 10
34 34 34 34 31,10 247 924 1933 1179 1560
22 34 34,522 1869 789 10
22 34 34 34 34,1678 484 56 1927 789 10
34 34 28,10 484 6 264
31 15 34,1855 1318 484 10
37 22 34 34 34 34 34,454 1163 247 977 1900 1949 39 10
22 34 34 34 34 34 34 34,50 1254 1207 1969 1331 1949 104 789 10
37 37 31 15 34,509 1629 1268 333 484 10
22 34,581 1030 11
17 15 34 34,954 161 1030 484 11
22 34 34 34 34 34,570 1030 39 10 878 1673 11
34 34 31,11 917 1179 77
34 34 34 31,11 353 1099 247 1808
22 34 34 34 34 34 34,662 257 819 496 1291 106 1927 11
34 34 34 34 31,11 353 737 1346 759 1668
34 34 34 34 34 34 34 34 34 34,1838 750 1299 789 779 1291 707 1179 1254 917 11
18 34 34 34 34 34 34 34,1037 1929 1961 1673 1898 1949 924 1927 11
37 22 34 34 34,1067 1114 364 1937 1673 11
22 34 34 34 34,1699 995 907 1579 353 11
22 34 34 34 34 34 34 34 34,1704 1030 1142 727 1254 364 1942 1673 917 11
17 15 34 34 34,1016 1946 247 1831 484 11
34 34 23,11 789 7 263
22 34 34,315 1844 1673 11
37 22 34,1024 540 1030 11
14 22 34 34 34 34 34 34,745 83 364 2022 260 16 907 1673 11
22 34 34 34,265 247 1691 484 11
34 31,11 1673 1913
37 31 15 34 34 34,45 1936 333 423 1719 484 11
22 34,454 1030 12
34 34 34 34 34 34 34 34 34 34,810 484 891 364 1207 1346 1830 1927 552 1030 12
34 31,12 48 1806
22 34 34 34 34 34 34 34 34,724 1179 1544 260 1971 1331 977 1863 1949 12
34 34 34 34 34 34 31,12 1927 22 1316 1346 247 1740 576
22 34 34 34 34 34 34 34 34 34,1796 1273 768 484 1964 1299 1693 1969 3 977 12
34 34 34 34 34 31,12 1030 1749 1316 484 770 1943
22 34 34 34 34,1278 1142 1331 16 1673 12
34 34 31,12 1949 1831 1877
22 34 34 34,1748 321 31 1673 12
34 34 34 31,12 1030 1334 1964 576
22 34 34,1080 247 977 12
37 18 15 34 34 34 34 34,894 913 444 1286 1937 353 1903 1949 12
34 34 34 34 34 28,12 1927 48 1949 687 1960 1518
37 22 34 34 34 34,1067 376 1030 1722 907 977 12
37 22 34 34 34 34 34,894 343 247 1722 2008 768 1949 12
34 34 34 34 27,12 977 1753 1291 740 1728
22 34 34 34 34 34,1868 353 1933 1299 1866 1949 12
37 22 34 34 34,621 761 364 1346 977 12
37 22 34,1006 1744 1030 12
37 37 22 34 34 34 34,566 1880 1878 257 1927 2002 1907 13
34 34 31,13 1847 1254 576
34 31,13 104 1906
34 34 34 34 34 34 34 34 34 34,947 353 55 977 1753 1927 623 1669 425 1969 13
22 34 34 34 34 34,337 1286 1179 740 1346 917 13
37 22 34,1275 1450 1273 13
22 34,1619 1179 13
22 34 34 34 34 34 34 34,628 247 1762 353 1898 1030 2017 260 13
34 34 34 31,13 1179 1934 789 1247
22 34 34,932 247 1907 13
34 34 34 34 31,13 690 1030 2008 1933 1810
34 34 34 34 34 34 34 34 34 31,13 1291 737 1254 687 1286 1235 1299 1326 321 1808
34 23,13 257 1413
12 34 34,1784 1235 353 13
22 34 34 34 34 34 34 34 34 34,176 1254 1937 353 707 1110 1142 27 2001 1179 13
34 34 34 34 34 31,13 1179 1291 995 789 770 1913
34 34 34 34 28,13 496 321 1792 1753 212
22 34 34 34,287 247 995 1179 13
34 34 34 34 23,13 759 162 1284 1397 1413
34 28,13 22 243
37 37,476 1836 14
37 37 37,563 1963 1321 14
37 12,14 168 518
22 28,14 374 518
35 15 34 31,14 1946 247 1838 1877
29 35 15 28,14 1442 1901 374 518
37 3,14 168 207
29 0,14 1442 1199
29 12,14 1442 518
22 23,14 374 1413
35 23,14 1946 1413
29 35 15 23,14 1442 1901 374 1413
29 3,14 1442 121
29 9,14 1442 1485
35 15 31,14 1946 247 826
29 22 28,14 1442 445 518
29 22 23,14 1442 374 1413
37 31,14 168 1427
37 22 34 34 34 34 31,14 168 1030 1863 1927 685 484 46
35 15 34 34 34 34 31,14 1946 247 891 1299 779 924 1560
35 23,15 1946 1413
22 34 34,15 1030 1664 1408
22 34 31,15 1030 2011 1906
35 15 31,15 1946 247 1247
31 15 31,15 950 1030 1266
22 31,15 247 1811
22 34 23,15 247 2018 263
22 34 34 34 34 34 34 31,15 247 49 1030 1927 26 260 4 65
31 15 34 34 34 34 31,15 950 1030 1673 1929 1949 947 452
35 15 28,15 1946 247 264
35 15 34 34 34 31,15 1946 247 1326 425 819 1808
31 15 34 31,15 950 1030 1714 1913
22 34 34 34 31,15 247 755 1303 1018 1560
22 34 34 31,15 247 1303 1110 1668
35 15 34 34 34 34 31,15 1946 247 1179 425 1346 1863 452
35 15 34 34 31,15 1946 247 162 696 1247
22 23,15 1030 1480
22 34 34 34 34 34 31,15 1030 1110 1838 1673 104 1331 65
22 34 28,15 1030 2005 518
31 15 34 34 34 31,15 950 1030 1664 55 1927 1400
34 34 31,16 1673 1303 1811
22 34,1575 1030 16
22 34 34 34 34 34 34 34,1777 1030 1235 737 1331 104 2001 484 16
22 34 34 34 34,939 1142 1331 43 260 16
22 34 34 34 34 34 34 34 34 34,1537 1825 2001 789 1750 1299 1346 260 2011 1927 16
37 37 37 22 34 34 34 34 34,455 1135 1987 1654 1179 1937 1715 1683 1927 16
34 34 34 34 31,16 1030 257 49 106 46
34 34 34 34 34 31,16 1331 321 496 260 1715 65
34 34 34 34 34 34 34 34 34 34,907 924 260 1886 1669 623 779 739 1831 1331 16
37 37 37 37 22 34 34 34 34,1153 1763 1604 1274 1677 1030 1303 104 1331 16
37 31 15 34,1081 275 1858 484 16
22 34 34 34,1038 425 1669 1331 16
17 34 34 34 34 34 34,822 1123 917 1303 496 1235 353 16
22 34 34 34 34 34 34 34 34,123 353 1759 1830 1861 1915 779 1207 1331 16
14 22 34,745 1439 1030 16
34 34 34 34 34 34 34 31,16 1030 768 977 1915 810 364 104 1144
35 34 34 34 34 34 34 34 34 34,613 353 43 260 1673 1959 484 282 6 1927 16
34 31,16 1927 65
22 34 34 34 34 34 34,667 995 878 2008 104 364 1331 16
37 22 34,1006 1744 353 16
34 31,17 1886 1663
34 34 34 34 34 34 34 31,17 1030 1844 364 1869 1254 247 1929 1808
31 15 34 34 34,302 910 1544 917 26 17
22 34 34 34 34 34 34,1338 364 1179 1900 1961 1929 1886 17
35 34 34,1905 484 33 17
22 34,660 1030 17
34 34 34 31,17 1299 484 707 592
34 34 34 34 34 31,17 260 1942 353 740 552 1322
22 34 34 34 34,806 1673 995 1397 26 17
22 34 34 34 34 34 34 34 34 34,1514 282 6 1949 810 484 26 2001 2011 917 17
34 34 34 34 27,17 2001 364 1714 1346 1728
34 34 34 34 34 34 34 34 34 34,484 1207 364 1780 1927 1903 1907 1886 1123 1949 17
22 34 34 34 34 34 34 34,613 353 1303 779 1284 1254 1749 484 17
6 34 34 34 34 34 34 34 34 34,1839 1830 1792 1207 907 1334 1915 1303 260 1886 17
37 22 34 34 34 34 34 34 34,1067 656 364 1964 353 1960 2002 2001 26 17
37 37 37 22 34,476 1836 1982 1381 484 17
22 34 34,1550 1030 33 17
34 34 34 34 34 34 34 34 31,17 917 247 1714 1969 260 947 977 3 1877
34 34 34 34 31,17 917 13 353 1669 1560
22 34 34 34 34 34 34 34 34,1778 484 113 917 1299 1273 2008 353 31 17
22 34 28,18 1030 1815 518
31 15 31,18 1420 1030 551
37 3,18 1135 543
22 34 31,18 1030 1815 1133
31 15 34 31,18 1420 1030 1688 1247
22 34 34 34 34 34 31,18 1030 49 257 1397 1927 739 46
22 34 34 34 34 31,18 1030 977 353 104 13 1639
31 15 34 34 34 31,18 1420 1030 1815 789 762 46
37 37 11,18 1135 1501 1708
22 34 34 34 31,18 1030 35 484 19 1002
22 31,18 1030 1247
31 15 34 34 31,18 1420 1030 1142 260 1877
37 11,18 1135 992
37 37 22 31,18 1135 864 995 1144
37 37 3,18 1135 1243 536
37 4,18 1135 221
22 34 23,18 1030 282 1461
22 34 34 34 34 34 34 34 34 34,18 1030 687 1669 1331 977 484 3 789 1915 1886
37 31 13 15 34 34 34 31,18 1135 158 1901 257 1937 1291 1917 65
31 15 34 34 34 34 34 34 31,18 1420 1030 1691 1949 1927 1 260 39 1144
34 34 31,19 1959 364 222
35 34 34 34 34 34 34 34 34,694 878 10 39 1673 1046 1254 49 1331 19
34 34 34 31,19 353 1207 1792 1810
22 34,577 353 19
22 34 34 34 34 34 34 34,1052 257 1669 1673 1018 1838 750 353 19
22 34 34 34 34 34 34 34 34 34,1431 2008 707 1838 1346 1284 1927 1687 484 1959 19
22 34 34 34 34 34 34 34 34,1591 247 623 1299 1866 907 1018 1907 1927 19
34 34 34 34 34 34 34 34 34 34,496 690 364 779 1291 759 623 1915 1673 1959 19
22 34 34 34 34 34,590 1046 1029 484 1874 260 19
34 34 34 34 34 34 31,19 995 1673 1886 1866 1927 1664 646
34 34 28,19 1331 2017 243
21 15 34 34 34 34,651 684 1030 1714 1299 39 19
22 34 34 34,1618 484 1992 1331 19
34 34 34 34 34 34 34,19 995 1907 755 789 1207 1030 1408
35 34 34,694 1286 1838 19
37 37 30 22 34 34 34 34 34 34,492 2032 1259 170 247 1934 1907 1273 727 995 19
22 34 34 34 34 34 34,1543 1142 1179 1254 1755 1949 484 19
37 37 29 22 34 34 34 34 34,718 474 1236 1795 1030 162 1254 1755 353 19
35 34 34 34 34 34,433 1722 1753 484 2030 1838 19
34 34 34,19 1030 1165 1408
37 21 15 34 34 34,1265 723 640 1030 2017 1927 20
22 34,559 1030 20
34 31,20 1299 1945
34 34 34 34 34 34 34 34 34 34,1299 1960 789 770 247 22 924 1825 1346 260 20
29 22 34,1210 1098 1030 20
22 34 34 34,468 257 1046 1299 20
22 34 34 34 34 34 34 34 34,2004 1316 1825 1346 1284 425 1900 1838 1927 20
34 34 34 31,20 353 1825 55 1877
22 34 34 34 34 34 34,1993 1286 425 1942 1254 1397 1291 20
34 34 31,20 1030 1179 1663
22 34 34 34 34 34 34 34 34 34,528 1254 789 6 1949 759 1825 1273 13 1673 20
22 34 34,1305 257 1291 20
22 34 34 34 34 34,1888 1030 1874 353 1695 1927 20
22 34 34 34 34 34 34 34,1608 1030 907 1937 1838 1792 1830 1673 20
35 34 34 34 34,181 1254 977 1802 1673 20
37 37 22 34 34 34 34 34 34 34,566 525 1973 247 1714 1123 1331 1971 55 1886 20
31 15 34 34 34,895 936 977 1099 353 20
34 34 34 34 34 34 31,20 1949 1927 739 1303 917 2018 1002
37 34 34 34 34 34 34 34 34 34,1741 247 1691 1299 1829 789 321 1907 1254 1927 20
22 34 34 34 34,1183 257 1926 1929 1886 20
22 34 34 34 34 34 34 31,21 1030 1964 1673 1802 1792 364 106 1560
22 34 31,21 1030 696 1400
22 31,21 1030 156
22 34 34 34 31,21 1030 1960 104 1254 1945
22 34 34 34 16,21 1030 1753 484 768 1493
22 34 34 31,21 1030 1303 1291 452
22 34 28,21 1030 6 264
22 34 34 34 34 31,21 1030 1812 484 789 2018 1721
22 34 23,21 1030 35 263
22 34 34 34 34 34,1716 1030 1740 1927 55 1825 22
22 34 34 34 34,387 1030 1857 2008 924 22
34 34 34 34 31,22 1316 907 1303 810 1808
34 34 34 34 34 34 34 34 34 34,1018 1110 2008 6 1673 353 1857 1303 1915 19 22
34 34 34 31,22 19 1030 26 65
34 31,22 353 1810
22 34,1499 247 22
14 22 34 34 34 34 34 34 34,1283 930 257 1838 737 1291 1673 1927 924 22
22 34 34 34 34 34 34 34 34 34,1623 1030 1898 1949 364 977 1907 819 13 1825 22
34 27,22 1959 1370
22 34 34 34,42 247 1927 1959 22
29 22 34,671 1549 247 22
22 34 34 34 34 34 34,831 995 737 935 572 1303 2008 22
34 34 31,22 1825 707 615
22 34 34,793 364 1959 22
37 37 22 34,476 1836 1581 353 22
25 31 15 34,1678 1675 910 1544 22
14 22 34 34 34,745 619 257 162 1179 22
34 34 34 34 34 31,22 995 759 1346 1714 257 618
32 34 34 34 34 34,745 1299 1866 1915 1280 1030 22
6 23,23 247 1413
22 34 31,23 1030 1996 1247
22 31,23 1030 1560
22 28,23 1273 533
22 34 34 34 31,23 1030 1829 789 1815 46
30 3,23 1417 85
6 34 31,23 247 22 1452
6 31,23 247 1330
6 34 34 27,23 247 2008 1822 166
18 15 31,23 1610 1030 1266
6 34 34 34 34 34 34 34 34 34,23 247 1907 55 623 1030 1326 1755 1753 789 1284
30 7,23 1417 1896
30 22 23,23 1417 1746 1413
18 15 34 34 34 34 31,23 1610 1030 1099 353 1303 690 1663
30 16,23 1417 1344
18 15 34 34 34 31,23 1610 1030 1822 1792 1802 452
6 34 34 31,23 247 917 20 826
22 34 34 23,23 1273 1937 364 1480
30 12,23 1417 533
22 34 34 34 34 34 31,23 1030 924 1838 364 104 687 1668
37 37 37 3,1385 1484 1437 1177 24
14 3,1283 921 24
37 3,982 1813 24
37 37 3,718 474 540 24
14 20 3,1283 114 134 24
37 37 37 37 30 3,63 1963 1944 1140 1259 366 24
37 37 37 37 37 37 3,566 525 1880 1568 1734 1363 266 24
37 37 37 30 3,1006 61 2032 1259 366 24
37 37 37 37 3,1364 460 1250 1288 481 24
37 37 37 37 37 3,566 525 1880 1568 2032 266 24
31 15 34 34 34 34 31,25 910 1544 917 17 1927 1826 1002
31 15 31,25 950 1030 576
31 15 34 15 28,25 1109 484 1695 1352 533
31 13 15 23,25 1882 1652 1148 1480
31 15 34 34 31,25 910 1544 1179 1397 77
31 15 34 31,25 1109 484 1326 1264
31 13 28,25 1882 1652 1801
31 13 15 34 31,25 1882 1652 353 917 826
31 13 15 28,25 1358 1662 1148 1950
31 15 34 34 34 31,25 950 1030 35 1927 32 1247
31 15 34 34 28,25 578 1142 1886 1966 518
31 15 34 23,25 950 1030 3 263
31 15 28,25 1358 1148 1852
31 13 15 31,25 1358 1662 282 65
22 23,25 1029 1461
22 31,25 1029 261
22 34 31,25 1029 1046 65
31 15 23,25 1358 1148 1480
31 15 34 28,25 1109 484 1712 518
31 15 34 34 34 34 34 34 34 34,25 1882 353 2028 1331 425 1254 1949 1755 1286 1273
22 34 34 34,1387 1142 1969 1179 26
34 34 31,26 2001 1966 1264
34 31,26 917 1913
34 34 34 34 34 34 34 34 34 34,282 737 687 1291 1722 1886 484 1822 1299 2001 26
22 34 34 34 34 34 34 34 34,1820 1286 687 755 1927 1874 260 16 1673 26
34 34 34 34 34 31,26 917 1179 1942 1254 865 1808
31 15 34,331 333 484 26
22 34 34 34 34 34 34,888 1030 1714 690 1907 1046 364 26
22 34,482 1030 26
34 34 34 34 34 34 31,26 1927 1886 353 260 162 1284 1247
25 25 25 37 22 34 34 34 34 34,731 1130 1175 981 1220 1030 1960 31 917 321 26
22 34 34 34 34,1149 1030 1691 1927 917 26
37 22 34 34 34,476 1944 257 819 1299 26
34 34 34 34 31,26 1179 1917 1907 1996 1247
34 34 34 31,26 1927 935 1923 1808
22 34 34 34 34 34 34 34 34 34,342 257 247 1722 907 104 924 1927 623 1110 26
37 22 34 34 34 34 34,189 504 321 1812 2008 687 1110 26
37 37 35 34,455 1984 2 917 26
37 22 34,746 1104 1030 26
34 34 34,26 484 759 358
34 31,27 1142 1906
34 34 34 34 31,27 1030 779 1299 1685 1810
34 34 34 34 34 34 34 34 34 34,1331 1291 917 17 1886 113 6 353 10 260 27
37 22 34 34 34,313 281 247 1886 1110 27
34 34 34 31,27 1110 1303 104 1264
34 34 31,27 1927 2001 1264
37 22 34,1938 1733 1673 27
22 34 34 34,976 282 1960 1838 27
34 34 34 34 34 31,27 1110 496 977 995 1722 826
22 34 34,181 1303 878 27
37 22 34 34 34 34,199 1178 1030 1766 1927 878 27
22 34 34 34 34 34 34,413 247 22 364 1830 768 1886 27
22 34,939 1142 27
34 28,27 1960 1518
17 15 34 34 34 34,301 458 977 759 849 353 27
22 34 34 34 34 34 34 34 34,1422 353 1753 1886 1949 687 623 364 1331 27
17 15 34 34 34 34 34 34,1402 440 484 1923 1915 2008 1844 353 27
34 34 34,27 917 1907 358
37 22 34 34 34 34 34 34 34,1430 1245 947 1179 1933 1869 353 1917 1673 27
37 37 22 34 34 34,199 502 1974 257 1933 1886 27
37 3,28 1972 377
37 37 3,28 879 2019 137
22 34 34 34 34 31,28 247 1303 321 1142 2013 1810
37 37 12,28 1972 1323 1655
37 22 34 34 34 34 34 34 23,28 2019 247 1299 2008 1669 1825 707 353 1461
37 9,28 879 186
37 12,28 879 518
22 34 31,28 247 1886 1247
37 11,28 422 1708
37 36,28 1261 289
22 31,28 247 239
37 37,28 1972 1920
37 16,28 1972 1344
37 18 15 34 31,28 2019 1946 247 30 1945
37 8,28 2019 1672
37 11 27,28 190 497 1506
22 34 34 34 34 34 31,28 247 1179 1929 1907 907 257 1247
37 0,28 879 505
22 34 34 31,28 247 162 947 1668
22 34 34 34 31,28 247 907 321 1029 1876
21 13 23,29 647 1653 1480
21 13 15 34 34 31,29 647 1653 1030 282 737 1266
21 13 15 34 31,29 647 1653 1030 2011 1002
21 39 15 34 31,29 647 1272 1030 1802 1663
21 13 15 31,29 491 1901 257 1560
22 34 28,29 1030 839 264
21 15 31,29 647 257 1247
21 39 13 15 31,29 491 1272 1444 1030 427
21 15 34 34 34 34 31,29 595 1030 162 1915 977 572 826
22 34 34 31,29 1030 321 995 261
21 15 34 31,29 647 257 1207 1724
21 39 15 31,29 491 1272 1030 826
21 15 34 34 31,29 647 257 1907 1931 1247
21 39 13 15 34 34 34 34 31,29 647 1272 1444 1030 1291 737 1934 1123 1663
21 13 15 34 34 34 34 34 34 34,29 491 1901 257 1861 1907 1346 2008 1291 707 739
22 31,29 1030 1808
21 13 15 34,29 491 1901 257 358
22 34 31,29 1030 1207 1860
22 34 34 34 34 34 31,29 1030 1165 1273 977 1316 1759 156
22 34 34 34 34 34 34 34 31,29 1030 55 2005 260 321 1179 1942 755 1808
34 34 31,30 1838 1802 576
37 37 22 34,1774 1163 275 247 30
34 34 34 34 34 34 34 34 34 34,740 1915 1326 1927 1544 2008 1869 1284 1792 1838 30
22 34,1081 247 30
22 34 34 34 34 34 34 34,306 484 849 739 1346 1286 2008 31 30
22 34 34,405 247 1838 30
34 31,30 1838 1945
34 34 34 34 31,30 1838 32 1673 1959 1126
30 22 34 34 34 34 34 34 34 34,1259 170 1207 779 1284 425 755 1346 819 1838 30
37 22 34,1774 527 247 30
22 34 34 34,443 1030 755 247 30
22 34 34 34 34,591 1299 20 1907 31 30
34 34 34 34 34 34 31,30 31 353 1802 1299 1110 484 1322
22 34 34 34 34 34 34 34 34 34,1024 257 739 917 17 1886 1179 552 353 31 30
34 28,30 31 518
