relation_path,entity_path
34 34 34,3 1969 2008 353
34 34,353 1949 3
34 34 34,353 1949 484 3
34 34,3 1969 484
34 34,484 789 3
34 34 34,484 789 1949 3
34 34,3 1030 789
34 34 34,3 1030 2030 789
34 34,789 1949 3
34 34 34,789 1949 484 3
34 34,3 1030 977
34 34 34,3 1030 1207 977
34 34,977 1331 3
34 34 34,977 1331 484 3
34 34,3 1969 1030
34 34 34,3 1969 2024 1030
34 34,1030 789 3
34 34 34,1030 789 1949 3
34 34,3 1969 1331
34 34 34,3 1969 1927 1331
34 34,1331 977 3
34 34 34,1331 977 353 3
34 34,3 1969 1830
34 34 34,3 1969 1927 1830
34 34,1830 1969 3
34 34 34,1830 1969 1927 3
34 34,3 1969 1927
34 34 34,3 1969 2024 1927
34 34,1927 1830 3
34 34,3 1969 1949
34 34,1949 484 3
34 34 34,1949 484 789 3
34 34,3 1949 1969
34 34 34,3 1949 2008 1969
34 34,1969 1927 3
34 34 34,1969 1927 1830 3
34 34 23,4 484 1254 263
34 34 27,4 484 5 1370
34 31,4 484 46
34 34 31,4 484 2030 46
34 31,4 484 65
34 34 31,4 484 2030 65
34 34 31,4 484 10 222
34 31,4 484 452
34 34 31,4 484 2030 452
34 31,4 1030 576
34 34 31,4 1030 2030 576
34 34 31,4 484 6 646
34 34 31,4 1030 1713 1002
34 34 31,4 484 7 1126
34 31,4 484 1144
34 34 31,4 484 2030 1144
34 31,4 1030 1247
34 34 31,4 1030 2030 1247
34 34 31,4 484 13 1452
34 31,4 484 1560
34 34 31,4 484 1971 1560
34 31,4 484 1663
34 34 31,4 484 2030 1663
34 34 31,4 484 10 1721
34 31,4 484 1810
34 34 31,4 484 1971 1810
34 31,4 484 1877
34 34 31,4 484 2030 1877
34 31,4 484 1906
34 34 31,4 484 2030 1906
34 31,4 484 1913
34 34 31,4 484 2030 1913
34 31,4 1030 1945
34 34 31,4 1030 1900 1945
34 34,4 1030 484
34 34 34,4 1030 1207 484
34 34,484 789 4
34 34 34,484 789 1030 4
34 34,4 484 789
34 34 34,4 484 2030 789
34 34,789 1030 4
34 34 34,789 1030 260 4
34 34,4 484 1030
34 34 34,4 484 2030 1030
34 34,1030 789 4
34 34 34,1030 789 484 4
34 34,4 484 1142
34 34 34,4 484 907 1142
34 34,1142 260 4
34 34 34,1142 260 484 4
34 34,4 484 1927
34 34 34,4 484 2030 1927
34 34,1927 484 4
34 34 34,1927 484 789 4
34 34 15,5 353 1917 624
15 34 34,624 1397 260 5
15 34 34 34,624 1397 260 484 5
15 23,5 624 263
34 34 23,5 353 20 263
34 34 27,5 789 2013 1370
15 28,5 624 1518
34 34 28,5 789 2028 1518
15 15 28,5 624 1397 1518
34 31,5 789 65
34 34 31,5 789 2030 65
15 15 31,5 624 1397 65
34 34 31,5 789 2028 222
34 31,5 789 452
34 34 31,5 789 2030 452
15 15 31,5 624 1397 452
34 31,5 789 576
34 34 31,5 789 2030 576
34 34 31,5 789 2028 646
34 34 31,5 353 55 1002
34 34 31,5 789 2017 1126
34 31,5 789 1247
34 34 31,5 789 2030 1247
34 34 31,5 353 740 1452
34 34 31,5 484 1715 1495
34 31,5 789 1663
34 34 31,5 789 2030 1663
34 34 31,5 789 2028 1721
34 31,5 789 1810
34 34 31,5 789 1284 1810
34 31,5 789 1877
34 34 31,5 789 2030 1877
34 31,5 353 1906
34 34 31,5 353 2022 1906
34 31,5 353 1913
34 34 31,5 353 2028 1913
34 34,5 1331 353
34 34 34,5 1331 2028 353
15 15 34,5 624 1397 353
34 34,353 1030 5
34 34 34,353 1030 789 5
34 34,5 789 484
34 34 34,5 789 1949 484
15 15 34,5 624 1397 484
34 34,484 789 5
34 34 34,484 789 1030 5
34 34,5 1331 789
34 34 34,5 1331 2028 789
34 34,789 1030 5
34 34 34,789 1030 260 5
34 34,5 353 1331
34 34 34,5 789 1299 1331
34 34,1331 484 5
34 34 34,1331 484 789 5
34 23,6 113 263
34 34,6 260 263
34 34 23,6 113 2013 263
34 15 23,6 113 624 263
34 34 28,6 353 2018 264
34 31,6 2008 46
34 34 31,6 2008 1969 46
34 31,6 2008 65
34 34 31,6 2008 39 222
34 31,6 2008 576
34 34 31,6 2008 1969 576
34 34 31,6 353 2018 646
34 31,6 113 1002
34 34 31,6 1030 1770 1002
34 34 31,6 484 2015 1126
34 31,6 484 1144
34 34 31,6 484 2030 1144
34 31,6 2008 1247
34 34 31,6 2008 1969 1247
34 31,6 1949 1452
34 34 31,6 2008 1907 1452
34 31,6 2008 1560
34 34 31,6 2008 1969 1560
34 31,6 2008 1663
34 34 31,6 2008 1969 1663
34 31,6 113 1721
34 34 31,6 1673 32 1721
34 31,6 2008 1808
34 34 31,6 2008 1969 1808
34 31,6 2008 1810
34 31,6 2008 1877
34 34 31,6 2008 1969 1877
34 31,6 2008 1906
34 34 31,6 2008 1969 1906
34 31,6 2008 1913
34 34 31,6 2008 1969 1913
34 31,6 484 1945
34 34 31,6 484 1971 1945
34 34,6 484 113
34 34 34,6 484 789 113
34 34,113 1949 6
34 34 34,113 1949 2008 6
34 34,6 2008 260
34 34 34,6 2008 1969 260
34 34,260 1949 6
34 34 34,260 1949 2008 6
34 34,6 484 282
34 34 34,6 484 1838 282
34 34,282 1030 6
34 34 34,282 1030 789 6
34 34,6 2008 353
34 34 34,6 2008 1969 353
34 34,353 1949 6
34 34 34,353 1949 2008 6
34 34,6 2008 484
34 34,484 1971 6
34 34,6 2008 1030
34 34 34,6 2008 1969 1030
34 34,1030 789 6
34 34,6 2008 1673
34 34 34,6 2008 1969 1673
34 34,1673 113 6
34 34 34,1673 113 1949 6
34 34,6 2008 1927
34 34 34,6 2008 1969 1927
34 34,1927 484 6
34 34 34,1927 484 1971 6
34 34,6 2008 1949
34 34 34,6 2008 1969 1949
34 34,1949 2008 6
34 34 34,1949 2008 353 6
34 34,6 1949 2008
34 34 34,6 1949 768 2008
34 34,2008 353 6
34 34 34,2008 353 1949 6
34 23,7 247 263
34 34 23,7 247 2024 263
34 34 10,7 31 917 263
34 34 34,7 484 260 263
34 28,7 247 264
34 34 28,7 789 2013 264
34 31,7 247 222
34 34 31,7 789 2013 222
34 31,7 789 576
34 34 31,7 789 2030 576
34 34 31,7 247 2018 646
34 31,7 484 826
34 34 31,7 484 1762 826
34 31,7 31 1002
34 34 31,7 247 30 1002
34 34 31,7 484 4 1126
34 31,7 484 1144
34 34 31,7 484 2030 1144
34 31,7 1299 1247
34 34 31,7 1299 2024 1247
34 31,7 484 1264
34 34 31,7 484 907 1264
34 31,7 31 1452
34 34 31,7 484 3 1452
34 31,7 484 1560
34 34 31,7 484 1971 1560
34 31,7 484 1663
34 34 31,7 484 2030 1663
34 31,7 31 1721
34 34 31,7 247 30 1721
34 31,7 31 1806
34 34 31,7 31 917 1806
34 31,7 484 1808
34 34 31,7 484 2030 1808
34 31,7 484 1810
34 34 31,7 484 1971 1810
34 31,7 484 1877
34 34 31,7 484 2030 1877
34 31,7 484 1906
34 34 31,7 484 2030 1906
34 31,7 484 1913
34 34 31,7 484 2030 1913
34 31,7 31 1945
34 34 31,7 31 2001 1945
34 34,7 484 31
34 34 34,7 484 907 31
34 34,31 1927 7
34 34 34,31 1927 484 7
34 34,7 484 247
34 34 34,7 484 1971 247
34 34,247 789 7
34 34 34,247 789 484 7
34 34,7 789 484
34 34 34,7 789 1949 484
34 34,484 1971 7
34 34 34,484 1971 1927 7
34 34,7 484 789
34 34 34,7 484 2030 789
34 34,789 484 7
34 34 34,789 484 1971 7
34 34,7 484 1299
34 34 34,7 484 1207 1299
34 34,1299 31 7
34 34 34,1299 31 1927 7
34 34,7 484 1927
34 34 34,7 484 2030 1927
34 34,1927 484 7
34 34 34,1927 484 1971 7
22 34 26 3,8 1030 353 842 1141
18 15 34 26 3,8 1653 1030 353 842 1141
22 34 34 26 3,8 1030 1207 353 842 1141
22 34 26 3,8 1030 353 842 1646
18 15 34 26 3,8 1653 1030 353 842 1646
22 34 34 26 3,8 1030 1207 353 842 1646
22 28,8 1030 518
18 15 28,8 1653 1030 518
22 34 28,8 1030 2030 518
22 34 16,8 1030 687 1747
18 15 34 16,8 1653 1030 1996 1747
22 34 34 16,8 1030 1207 687 1747
18 15,8 1653 1030
22 34 26 3,9 1254 690 1215 706
22 34 34 26 3,9 1254 2008 690 1215 706
22 34 26 3,9 1254 353 842 1141
22 34 34 26 3,9 1254 2008 353 842 1141
22 34 26 3,9 1254 690 1215 1158
22 34 34 26 3,9 1254 2008 690 1215 1158
22 34 26 3,9 1254 353 842 1646
22 34 34 26 3,9 1254 2008 353 842 1646
22 28,9 439 1655
22 34 28,9 1254 707 1655
22 34 34 28,9 1254 1291 865 1655
34 15,10 1960 624
34 34 15,10 1960 321 624
15 34,624 1397 10
15 34 34,624 1397 484 10
15 34 34 34,624 1397 484 247 10
34 23,10 1960 263
34 34,10 260 263
15 23,10 624 263
34 34 23,10 1960 2002 263
34 34 34,10 39 260 263
34 34 27,10 1927 113 1370
34 28,10 1960 1518
15 28,10 624 1518
34 34 28,10 1960 321 1518
15 15 28,10 624 1397 1518
34 31,10 1960 46
34 31,10 1960 65
34 31,10 39 222
34 34 31,10 39 19 222
34 31,10 1960 452
34 31,10 1960 576
34 34 31,10 1960 2008 576
34 31,10 39 1002
34 34 31,10 39 19 1002
34 31,10 39 1126
34 34 31,10 1030 1992 1126
34 31,10 1960 1144
34 34 31,10 1960 321 1144
34 31,10 1960 1247
34 34 31,10 1960 2008 1247
34 31,10 878 1495
34 34 31,10 1927 1695 1495
34 31,10 1960 1663
34 34,10 321 1721
34 34 31,10 1927 33 1721
34 34 27,10 1927 33 1721
34 31,10 1960 1808
34 34 31,10 1960 2008 1808
34 31,10 1960 1877
34 31,10 1960 1906
34 31,10 39 1913
34 34 31,10 39 2008 1913
34 31,10 39 1945
34 34 31,10 39 1299 1945
34 34,10 1927 39
34 34 34,10 1927 1830 39
34 34,39 353 10
34 34 34,39 353 1030 10
34 34,10 1960 247
34 34 34,10 1960 2008 247
34 34,247 789 10
34 34 34,247 789 878 10
34 34,10 1960 260
34 34 34,10 1960 2008 260
34 34,260 39 10
34 34 34,260 39 353 10
34 34,10 1960 321
34 34 34,10 1960 2008 321
34 34,321 260 10
34 34 34,321 260 39 10
34 34,10 1927 353
34 34,353 1030 10
34 34 34,353 1030 789 10
34 34,10 1960 484
34 34,484 247 10
34 34,10 1960 878
34 34 34,10 1960 2008 878
34 34,878 321 10
34 34 34,878 321 260 10
34 34,10 1960 1030
34 34 34,10 1960 2008 1030
34 34,1030 789 10
34 34 34,1030 789 878 10
34 34,10 1960 1397
15 15,10 624 1397
34 34 34,10 1960 260 1397
34 34,1397 484 10
34 34 34,1397 484 247 10
34 31,10 1397 1408
34 34,10 39 1408
34 34 34,10 1397 1949 1408
34 34,10 1960 1927
34 34,1927 39 10
34 34,10 1927 1960
34 34 34,10 1927 917 1960
34 34,1960 789 10
34 34 34,1960 789 878 10
34 10,11 917 263
34 34 23,11 789 104 263
34 31,11 917 46
34 34 31,11 917 2018 46
34 31,11 917 65
34 34 31,11 917 2018 65
34 31,11 917 452
34 34 31,11 917 2011 452
34 31,11 917 576
34 34 31,11 917 2018 576
34 31,11 917 1002
34 34 31,11 353 20 1002
34 31,11 917 1144
34 34 31,11 917 2018 1144
34 31,11 917 1247
34 34 31,11 917 2011 1247
34 31,11 917 1264
34 34 31,11 789 104 1264
34 31,11 917 1663
34 34 31,11 917 2018 1663
34 31,11 917 1806
34 27,11 1673 1806
34 34 31,11 917 2011 1806
34 31,11 917 1810
34 34 31,11 917 2018 1810
34 34 31,11 917 2011 1862
34 31,11 917 1877
34 34 31,11 917 2018 1877
34 31,11 917 1906
34 34 31,11 917 2018 1906
34 31,11 917 1913
34 34 31,11 917 2018 1913
34 31,11 1030 1945
34 34 31,11 1927 425 1945
34 34,11 917 353
34 34 34,11 917 2018 353
34 34,353 1030 11
34 34 34,353 1030 1927 11
34 34,11 1927 789
34 34 34,11 1927 2030 789
34 34,789 484 11
34 34 34,789 484 1030 11
34 34,11 1927 917
34 34 34,11 1927 1825 917
34 34,917 353 11
34 34 34,917 353 1030 11
34 34,11 1927 1030
34 34 34,11 1927 2030 1030
34 34,1030 1927 11
34 34 34,1030 1927 917 11
34 34,11 917 1673
34 34 34,11 917 2008 1673
34 34,1673 1927 11
34 34 34,1673 1927 917 11
34 34,11 917 1927
34 34 34,11 917 2018 1927
34 34,1927 917 11
34 34 34,1927 917 353 11
34 23,12 48 263
34 34 23,12 1927 1971 263
34 34 34,12 48 260 263
34 27,12 48 1370
34 34 27,12 1030 10 1370
34 28,12 1030 518
34 34 28,12 1030 2030 518
34 31,12 1949 46
34 34 31,12 1949 2008 46
34 31,12 1949 65
34 34 31,12 1949 2008 65
34 34 31,12 1030 10 1002
34 31,12 1030 1144
34 34 31,12 1030 2030 1144
34 31,12 1949 1247
34 34 31,12 1949 2008 1247
34 31,12 1949 1663
34 34 31,12 1949 2008 1663
34 31,12 48 1721
34 34 31,12 1927 1971 1721
34 31,12 1949 1877
34 34 31,12 1949 2008 1877
34 31,12 1949 1906
34 34 31,12 1949 2008 1906
34 31,12 1949 1913
34 34 31,12 1949 2008 1913
34 31,12 1949 1945
34 34 31,12 1949 484 1945
34 34,12 1949 48
34 34 34,12 1949 484 48
34 34,48 977 12
34 34 34,48 977 1673 12
34 34,12 1949 484
34 34 34,12 1949 2008 484
34 34,484 977 12
34 34 34,484 977 1673 12
34 34,12 1949 977
34 34 34,12 1949 2008 977
34 34,977 1673 12
34 34 34,977 1673 1949 12
34 34,12 1949 1030
34 34 34,12 1949 2008 1030
34 34,1030 977 12
34 34 34,1030 977 1673 12
34 34,12 1949 1673
34 34 34,12 1949 2008 1673
34 34,1673 977 12
34 34 34,1673 977 1949 12
34 34,12 1949 1927
34 34 34,12 1949 2008 1927
34 34,1927 977 12
34 34 34,1927 977 1673 12
34 34,12 1927 1949
34 34 34,12 1927 696 1949
34 34,1949 1673 12
34 34 34,1949 1673 977 12
34 23,13 2001 263
34 34,13 260 263
34 10,13 917 263
34 34 23,13 2001 2022 263
34 28,13 924 243
34 34 28,13 924 1933 243
34 31,13 924 46
34 31,13 2001 65
34 31,13 924 102
34 34 31,13 924 1933 102
34 31,13 2001 576
34 31,13 2001 1144
34 31,13 2001 1247
34 31,13 924 1452
34 34 31,13 924 1933 1452
34 31,13 924 1458
34 34 31,13 924 1933 1458
34 31,13 924 1639
34 34 31,13 924 1933 1639
34 31,13 2001 1663
34 31,13 2001 1721
34 34,13 321 1721
34 34 31,13 2001 2022 1721
34 31,13 2001 1808
34 31,13 2001 1877
34 31,13 2001 1906
34 31,13 2001 1913
34 34,13 924 22
34 34,22 247 13
34 34,13 2001 104
34 34,104 924 13
34 34,13 1969 257
34 34,257 1907 13
34 34,13 2001 260
34 34,260 759 13
34 34,13 2001 321
34 34,321 1969 13
34 34,13 2001 353
34 34,353 1179 13
34 34,13 2001 484
34 34,484 759 13
34 34,13 924 496
34 34,496 1949 13
34 34,13 321 690
34 34 34,13 321 496 690
34 34,690 1254 13
34 34,13 1969 759
34 34,759 496 13
34 34,13 2001 789
34 34,789 1949 13
34 34,13 257 819
34 34 34,13 257 1907 819
34 34,819 1927 13
34 34 34,819 1927 1825 13
34 34,13 2001 917
34 34,917 1949 13
34 34,13 1825 924
34 34,924 1825 13
34 34,13 2001 1030
34 34,1030 257 13
34 34,13 2001 1179
34 34,1179 1273 13
34 34,13 1969 1254
34 34,1254 917 13
34 34,13 1969 1273
34 34,1273 1291 13
34 34,13 1825 1291
34 34,1291 1673 13
34 34,13 1030 1664
34 34 34,13 1030 31 1664
34 34,1664 260 13
34 34 34,1664 260 759 13
34 34,13 2001 1673
34 34,1673 1927 13
34 34,13 789 1688
34 34 34,13 789 878 1688
34 34,1688 1927 13
34 34 34,1688 1927 1825 13
34 34,13 2001 1825
34 34,1825 2001 13
34 34,13 789 1847
34 34,1847 260 13
34 34 34,1847 260 759 13
34 34,13 2001 1927
34 34,1927 1825 13
34 34,13 924 1949
34 34,1949 484 13
34 34,13 260 1969
34 34,1969 1927 13
34 34,13 1825 2001
34 34,2001 789 13
29 0,14 1442 1199
29 3,14 1442 121
37 3,14 168 1212
29 3,14 1442 1212
37 22 34 26 3,14 168 1030 690 1215 1212
35 15 34 34 26 3,14 1946 247 623 1139 1215 1212
37 22 34 34 26 3,14 168 1030 1207 1139 1818 1212
35 15 34 26 3,14 1946 247 353 842 1365
37 22 34 26 3,14 168 1030 353 842 1365
35 15 34 34 26 3,14 1946 247 1334 353 842 1365
37 22 34 34 26 3,14 168 1030 1207 353 842 1365
29 35 15 34 26 3,14 1442 1901 257 353 842 1365
37 3,14 168 1494
35 15 34 34 26 3,14 1946 247 484 1139 1818 1494
37 22 34 34 26 3,14 168 1030 1207 1139 1818 1494
35 15 34 34 34 26 3,14 1946 247 484 1207 1139 1818 1494
29 3,14 1442 1667
37 12,14 168 518
22 28,14 374 518
29 12,14 1442 518
37 22 28,14 168 1030 518
29 22 28,14 1442 374 518
37 22 34 28,14 168 1030 2030 518
29 35 15 28,14 1442 1901 257 518
35 15 34 28,14 1946 247 917 518
35 15 34 28,14 1946 247 1286 533
37 22 34 28,14 168 1030 1165 533
35 15 34 34 28,14 1946 247 1286 1273 533
29 22,14 1442 374
29 35 15,14 1442 1901 374
37 22 34 34 15,14 168 1030 762 680 374
35 15 34 34 34 15,14 1946 247 1291 762 680 374
37 22 34 34 34 15,14 168 1030 789 762 680 374
22 34 34 26 3,15 1030 260 856 2031 140
22 34 34 34 26 3,15 1030 260 1915 856 2031 140
22 34 26 3,15 1207 1139 1818 1212
22 34 34 26 3,15 247 1915 856 2031 1212
31 15 34 26 3,15 950 1030 690 1215 1212
22 28,15 247 264
22 34 28,15 1207 247 264
35 15 28,15 1946 247 264
22 34,15 1207 247
35 15,15 1946 247
22 34 34,15 1207 2008 247
22 34,15 247 1030
31 15,15 950 1030
22 34 34,15 247 2024 1030
35 15 34,15 1946 247 1030
22 34,15 247 1207
22 34 34,15 247 1303 1207
35 15 34,15 1946 247 1207
31 15 34,15 950 1030 1207
22 34 26 31,15 1207 690 1215 1421
22 34 34 26 31,15 247 364 690 1215 1421
31 15 34 26 31,15 950 1030 690 1215 1421
34 34,16 260 263
34 34 23,16 1030 3 263
34 34 27,16 1030 49 964
34 31,16 1030 46
34 34 31,16 1030 2030 46
34 31,16 1030 65
34 34 31,16 1030 2030 65
34 34 31,16 1030 1303 222
34 31,16 1030 452
34 34 31,16 1030 2030 452
34 31,16 1030 576
34 34 31,16 1030 2030 576
34 34 31,16 1030 3 1002
34 34 31,16 260 2024 1126
34 31,16 260 1144
34 34 31,16 260 2030 1144
34 31,16 1030 1247
34 34 31,16 1030 2030 1247
34 31,16 260 1264
34 34 31,16 260 39 1264
34 31,16 1030 1560
34 34 31,16 1030 1207 1560
34 34 31,16 1030 3 1721
34 31,16 1030 1808
34 34 31,16 1030 2030 1808
34 31,16 1030 1810
34 34 31,16 1030 1207 1810
34 34 31,16 1030 56 1862
34 31,16 1030 1877
34 34 31,16 1030 2030 1877
34 31,16 907 1906
34 34 31,16 907 2008 1906
34 31,16 1030 1913
34 34 31,16 1030 2030 1913
34 31,16 907 1945
34 34 31,16 907 1286 1945
34 34,16 1030 260
34 34 34,16 1030 2030 260
34 34,260 484 16
34 34 34,260 484 907 16
34 34,16 1030 353
34 34 34,16 1030 1207 353
34 34,353 1030 16
34 34 34,353 1030 907 16
34 34,16 1030 484
34 34 34,16 1030 1207 484
34 34,484 907 16
34 34 34,484 907 1927 16
34 34,16 1030 907
34 34 34,16 1030 1207 907
34 34,907 484 16
34 34 34,907 484 260 16
34 34,16 353 1030
34 34 34,16 353 2028 1030
34 34,1030 907 16
34 34 34,1030 907 484 16
34 34,16 907 1331
34 34 34,16 907 1969 1331
34 34,1331 484 16
34 34 34,1331 484 907 16
34 34,16 1030 1673
34 34 34,16 1030 1207 1673
34 34,1673 260 16
34 34 34,1673 260 484 16
34 34,16 353 1927
34 34 34,16 353 2028 1927
34 34,1927 907 16
34 34 34,1927 907 484 16
34 23,17 2001 263
34 34,17 260 263
34 10,17 917 263
34 34 23,17 2001 2022 263
34 27,17 2001 964
34 34 27,17 2001 2002 964
34 28,17 2001 518
34 34 28,17 2001 947 518
34 31,17 1949 46
34 31,17 2001 65
34 31,17 2001 452
34 31,17 2001 1002
34 34 31,17 2001 2022 1002
34 31,17 2001 1144
34 34 31,17 2001 2022 1144
34 31,17 2001 1247
34 31,17 2001 1264
34 34 31,17 2001 104 1264
34 31,17 2001 1663
34 31,17 2001 1721
34 27,17 33 1721
34 34 31,17 2001 2022 1721
34 31,17 2001 1806
34 34 31,17 2001 2011 1806
34 31,17 2001 1808
34 31,17 2001 1810
34 31,17 2001 1862
34 34 31,17 2001 2022 1862
34 31,17 2001 1877
34 31,17 2001 1906
34 31,17 2001 1913
34 31,17 2001 1945
34 34,17 2001 26
34 34 34,17 2001 321 26
34 34,26 2001 17
34 34 34,26 2001 1030 17
34 34,17 2001 31
34 34 34,17 2001 321 31
34 34,31 917 17
34 34 34,31 917 1949 17
34 34,17 1949 33
34 34 34,17 1949 484 33
34 34,33 484 17
34 34 34,33 484 31 17
34 34,17 2001 260
34 34,260 26 17
34 34 34,260 26 2001 17
34 34,17 2001 484
34 34,484 31 17
34 34,17 2001 917
34 34,917 1949 17
34 34 34,917 1949 484 17
34 34,17 2001 1030
34 34,1030 31 17
34 34 34,1030 31 2001 17
34 34,17 2001 1299
34 34,1299 1949 17
34 34 34,1299 1949 484 17
34 34,17 2001 1838
34 34 34,17 2001 947 1838
34 34,1838 31 17
34 34 34,1838 31 917 17
34 34,17 1949 1886
34 34 34,17 1949 2008 1886
34 34,1886 917 17
34 34 34,1886 917 1949 17
34 34,17 2001 1927
34 34,1927 26 17
34 34,17 1299 1949
34 34,1949 484 17
34 34 34,1949 484 31 17
34 34,17 26 2001
34 34,2001 1030 17
34 34 34,2001 1030 31 17
37 3,18 1135 377
37 37 3,18 1135 864 377
22 34 34 26 3,18 1030 484 1139 1818 377
37 37 37 37 3,18 1135 1243 1980 320 377
37 37 37 3,18 1135 1977 1566 556
37 3,18 1135 1212
37 37 3,18 1135 1243 1212
22 34 26 3,18 1030 690 1215 1212
37 37 37 3,18 1135 1243 1980 1212
37 3,18 1135 1494
37 37 3,18 1135 1988 1494
37 37 37 3,18 1135 1987 1654 1494
37 37 3,18 1135 1977 1498
22 34 26 3,18 1030 690 1215 1498
37 37 37 3,18 1135 1951 1842 1498
37 37 37 37 3,18 1135 1951 1990 1842 1498
22 28,18 1030 518
37 12,18 1135 518
22 34 28,18 1030 2030 518
37 22 28,18 1135 445 518
31 15 28,18 1420 1030 518
37 37 12,18 1135 1243 518
31 15,18 1420 1030
37 22 34,18 1135 257 1030
37 37 31 15,18 1135 864 1420 1030
37 22 34 34,18 1135 257 1907 1030
37 37 22 34,18 1135 1951 484 1030
37 31 15 34,18 1135 158 257 1030
37 37 31,18 1135 864 1420
37 37 31,18 1135 1501 1421
22 34 26 31,18 1030 690 1215 1421
31 15 34 26 31,18 1420 1030 690 1215 1421
22 34 34 26 31,18 1030 1207 690 1215 1421
22 34 34 26 33,18 1030 260 856 2031 139
31 15 34 34 26 33,18 1420 1030 1915 856 2031 139
22 34 34 34 26 33,18 1030 1915 260 856 2031 139
37 22 34 34 26 33,18 1135 257 260 856 2031 139
37 4,18 1135 221
37 37 36,18 1135 864 221
37 37 4,18 1135 864 221
34 23,19 1959 263
34 34,19 260 263
34 34 34,19 1959 260 263
34 34 23,19 260 2030 263
34 28,19 22 243
34 34 28,19 22 1915 243
34 28,19 1959 264
34 34 28,19 1959 364 264
34 31,19 1959 46
34 31,19 1959 65
34 31,19 22 102
34 34 31,19 1959 22 102
34 31,19 1959 222
34 34 31,19 1959 364 222
34 31,19 1959 452
34 31,19 1959 576
34 34 31,19 1959 1949 576
