node_id,direction,edges
29,out,14 6 42 6 42 42 44 18 6 6 6 14 6 6 
30,in,69 68 63 63 69 68 57 63 69 63 63 63 69 63 63 63 55 69 63 63 63 63 63 63 69 68 63 63 63 63 
30,out,69 68 62 62 69 68 56 62 68 62 62 62 68 62 62 62 54 68 62 62 62 62 62 62 69 68 62 62 62 62 
31,in,69 68 69 68 69 68 63 63 69 68 69 68 69 68 47 69 68 69 68 63 69 68 57 63 63 69 68 69 68 69 63 69 68 63 63 69 68 69 68 44 63 63 63 69 68 69 63 63 63 63 69 68 69 63 69 68 63 69 68 63 69 69 68 69 68 69 68 69 68 
31,out,69 68 69 68 69 68 62 62 69 68 69 68 69 68 46 69 68 69 68 62 69 68 56 62 62 69 68 69 68 68 62 69 68 62 62 69 68 69 68 45 62 62 62 69 68 68 62 62 62 62 69 68 68 62 69 68 62 69 68 62 68 69 68 69 68 69 68 69 68 
32,in,63 63 69 68 69 47 69 68 63 69 68 57 63 55 68 63 69 68 63 69 68 63 63 63 69 68 63 63 63 63 68 63 69 68 63 63 69 68 63 69 68 69 68 
32,out,62 62 69 68 68 46 69 68 62 69 68 56 62 54 69 62 69 68 62 69 68 62 62 62 69 68 62 62 62 62 69 62 69 68 62 62 69 68 62 69 68 69 68 
33,in,69 68 63 69 68 69 68 69 68 47 57 63 69 68 57 63 63 69 68 63 63 63 69 68 63 69 68 63 55 63 63 63 63 63 63 69 68 63 69 68 69 68 
33,out,69 68 62 69 68 69 68 69 68 46 56 62 69 68 56 62 62 69 68 62 62 62 69 68 62 69 68 62 54 62 62 62 62 62 62 69 68 62 69 68 69 68 
34,in,7 63 9 9 7 7 25 7 63 63 45 45 63 1 63 9 63 73 9 7 7 63 7 63 
34,out,6 62 8 8 6 6 24 6 62 62 44 44 62 0 62 8 62 72 8 6 6 62 6 62 
35,in,63 69 68 47 63 69 68 63 31 63 69 68 63 63 63 69 68 63 57 63 63 63 63 63 69 68 63 
35,out,62 69 68 46 62 69 68 62 30 62 69 68 62 62 62 69 68 62 56 62 62 62 62 62 69 68 62 
36,in,7 67 9 7 25 7 7 3 45 33 7 7 33 33 
36,out,6 66 8 6 24 6 6 2 44 32 6 6 32 32 
37,in,9 7 7 23 25 7 7 19 7 45 7 7 7 7 63 7 33 45 
37,out,8 6 6 22 24 6 6 18 6 44 6 6 6 6 62 6 32 44 
38,in,7 41 40 15 7 71 35 7 7 7 7 3 7 7 7 7 7 
38,out,6 41 40 14 6 70 34 6 6 6 6 2 6 6 6 6 6 
39,in,69 68 69 68 63 63 63 69 68 47 57 69 68 63 69 68 63 63 63 68 44 63 63 63 63 69 68 69 63 63 63 69 68 69 68 63 63 63 69 68 63 68 69 68 
39,out,69 68 69 68 62 62 62 69 68 46 56 69 68 62 69 68 62 62 62 69 45 62 62 62 62 69 68 68 62 62 62 69 68 69 68 62 62 62 69 68 62 69 69 68 
40,in,41 40 7 45 71 35 23 25 7 7 7 3 45 7 7 39 
40,out,41 40 6 44 70 34 22 24 6 6 6 2 44 6 6 38 
41,in,41 40 7 67 73 25 7 7 7 45 7 7 7 7 37 39 
41,out,41 40 6 66 72 24 6 6 6 44 6 6 6 6 36 38 
42,in,7 63 45 25 75 7 63 63 13 63 63 1 63 63 63 7 63 37 
42,out,6 62 44 24 74 6 62 62 12 62 62 0 62 62 62 6 62 36 
43,in,63 69 63 69 68 47 57 69 68 63 57 63 55 63 69 68 63 63 69 68 63 63 63 68 63 63 63 63 63 69 68 63 
43,out,62 68 62 69 68 46 56 69 68 62 56 62 54 62 69 68 62 62 69 68 62 62 62 69 62 62 62 62 62 69 68 62 
44,in,7 7 71 35 25 7 7 7 7 7 7 7 7 7 63 39 7 7 7 74 75 
44,out,6 6 70 34 24 6 6 6 6 6 6 6 6 6 62 38 6 6 6 75 74 
45,in,7 7 37 7 7 7 3 45 7 7 7 7 39 75 
45,out,6 6 36 6 6 6 2 44 6 6 6 6 38 74 
46,in,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 
46,out,63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 
47,in,15 43 23 25 7 74 45 7 7 7 7 33 43 71 7 7 19 
47,out,14 42 22 24 6 75 44 6 6 6 6 32 42 70 6 6 18 
48,in,68 63 63 69 68 47 69 68 57 63 69 68 69 68 63 63 63 55 63 63 63 63 63 63 63 63 63 69 68 63 69 68 
48,out,69 62 62 69 68 46 69 68 56 62 69 68 69 68 62 62 62 54 62 62 62 62 62 62 62 62 62 69 68 62 69 68 
49,in,63 63 68 69 68 57 69 68 69 68 69 68 47 63 69 68 63 55 68 63 69 68 63 69 68 63 68 69 68 68 63 63 63 63 63 63 69 68 63 63 69 68 63 69 68 69 68 69 68 63 69 68 
49,out,62 62 69 69 68 56 69 68 69 68 69 68 46 62 69 68 62 54 69 62 69 68 62 69 68 62 69 69 68 69 62 62 62 62 62 62 69 68 62 62 69 68 62 69 68 69 68 69 68 62 69 68 
50,in,7 19 67 7 7 15 45 7 7 7 7 7 7 45 7 7 15 7 25 15 7 
50,out,6 18 66 6 6 14 44 6 6 6 6 6 6 44 6 6 14 6 24 14 6 
51,in,19 7 45 7 7 25 73 19 7 15 19 15 15 7 15 7 7 
51,out,18 6 44 6 6 24 72 18 6 14 18 14 14 6 14 6 6 
52,in,45 45 7 7 67 7 7 13 45 63 63 63 45 63 37 35 23 33 25 63 7 
52,out,44 44 6 6 66 6 6 12 44 62 62 62 44 62 36 34 22 32 24 62 6 
53,in,7 7 45 19 7 7 15 15 7 15 7 
53,out,6 6 44 18 6 6 14 14 6 14 6 
54,in,7 7 19 7 7 7 7 45 7 7 7 73 71 39 7 
54,out,6 6 18 6 6 6 6 44 6 6 6 72 70 38 6 
55,in,69 68 63 69 68 69 68 69 68 47 69 68 68 68 57 63 69 68 69 68 69 68 63 69 68 63 69 68 63 69 68 69 68 63 63 63 63 69 68 63 63 69 68 69 68 63 69 68 63 69 68 63 69 68 69 68 63 69 68 68 69 68 
55,out,69 68 62 69 68 69 68 69 68 46 69 68 69 69 56 62 69 68 69 68 69 68 62 69 68 62 69 68 62 69 68 69 68 62 62 62 62 69 68 62 62 69 68 69 68 62 69 68 62 69 68 62 69 68 69 68 62 69 68 69 69 68 
56,in,63 47 69 68 63 69 68 57 63 69 68 63 69 68 63 63 69 63 63 63 63 63 63 63 63 69 68 63 
56,out,62 46 69 68 62 69 68 56 62 69 68 62 69 68 62 62 68 62 62 62 62 62 62 62 62 69 68 62 
57,in,7 67 35 5 25 7 7 7 45 7 7 7 7 23 
57,out,6 66 34 4 24 6 6 6 44 6 6 6 6 22 
58,in,6 6 6 6 6 6 6 6 6 6 6 6 6 6 
58,out,7 7 7 7 7 7 7 7 7 7 7 7 7 7 
59,in,7 7 19 15 7 7 25 19 45 7 7 7 19 19 7 15 7 15 39 7 7 19 7 
59,out,6 6 18 14 6 6 24 18 44 6 6 6 18 18 6 14 6 14 38 6 6 18 6 
60,in,31 31 70 36 31 70 34 31 31 34 70 34 31 31 34 36 
60,out,30 30 71 37 30 71 35 30 30 35 71 35 30 30 35 37 
61,in,7 73 75 75 75 25 74 7 7 7 75 74 45 75 75 7 63 67 7 7 7 75 23 75 7 75 75 75 75 
61,out,6 72 74 74 74 24 75 6 6 6 74 75 44 74 74 6 62 66 6 6 6 74 22 74 6 74 74 74 74 
62,in,7 35 7 7 7 15 19 43 43 25 7 63 19 7 33 19 43 19 
62,out,6 34 6 6 6 14 18 42 42 24 6 62 18 6 32 18 42 18 
63,in,75 25 75 7 45 7 75 7 71 35 7 23 15 75 75 
63,out,74 24 74 6 44 6 74 6 70 34 6 22 14 74 74 
64,in,7 7 67 33 45 25 15 7 7 7 7 7 7 7 7 7 
64,out,6 6 66 32 44 24 14 6 6 6 6 6 6 6 6 6 
65,in,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 8 62 62 62 62 62 62 62 8 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 8 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 8 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 
65,out,63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 9 63 63 63 63 63 63 63 9 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 9 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 9 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 
66,in,37 35 9 9 7 7 7 7 25 7 73 45 7 7 63 7 15 7 7 
66,out,36 34 8 8 6 6 6 6 24 6 72 44 6 6 62 6 14 6 6 
67,in,19 45 15 19 15 7 7 25 19 75 7 15 7 15 7 15 71 7 7 15 
67,out,18 44 14 18 14 6 6 24 18 74 6 14 6 14 6 14 70 6 6 14 
68,in,74 7 23 74 7 74 25 74 7 7 25 74 7 7 74 74 75 
68,out,75 6 22 75 6 75 24 75 6 6 24 75 6 6 75 75 74 
69,in,15 19 15 19 15 7 7 25 43 43 45 7 19 7 15 7 
69,out,14 18 14 18 14 6 6 24 42 42 44 6 18 6 14 6 
70,in,7 7 7 25 19 7 7 7 45 7 7 7 43 15 7 
70,out,6 6 6 24 18 6 6 6 44 6 6 6 42 14 6 
71,in,75 7 67 45 25 7 45 25 7 7 75 1 7 25 1 1 7 23 25 7 1 
71,out,74 6 66 44 24 6 44 24 6 6 74 0 6 24 0 0 6 22 24 6 0 
72,in,63 45 7 9 1 63 63 9 63 63 63 7 7 63 63 
72,out,62 44 6 8 0 62 62 8 62 62 62 6 6 62 62 
73,in,7 15 7 25 19 7 7 45 7 7 7 7 7 7 7 
73,out,6 14 6 24 18 6 6 44 6 6 6 6 6 6 6 
74,in,7 15 45 25 7 15 15 7 7 25 19 43 43 7 7 7 
74,out,6 14 44 24 6 14 14 6 6 24 18 42 42 6 6 6 
75,in,67 74 19 45 75 23 25 7 7 7 74 7 7 33 19 7 74 71 
75,out,66 75 18 44 74 22 24 6 6 6 75 6 6 32 18 6 75 70 
76,in,15 7 7 25 7 43 45 7 7 33 43 15 7 39 7 7 19 
76,out,14 6 6 24 6 42 44 6 6 32 42 14 6 38 6 6 18 
77,in,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 
77,out,63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 63 
78,in,7 63 7 7 63 7 45 63 45 63 63 73 9 7 7 
78,out,6 62 6 6 62 6 44 62 44 62 62 72 8 6 6 
79,in,73 9 9 7 25 7 63 45 63 63 63 73 35 23 63 7 
79,out,72 8 8 6 24 6 62 44 62 62 62 72 34 22 62 6 
80,in,19 7 19 1 7 7 7 19 19 7 7 15 7 19 19 
80,out,18 6 18 0 6 6 6 18 18 6 6 14 6 18 18 
81,in,7 7 43 19 25 43 45 7 7 33 15 7 7 
81,out,6 6 42 18 24 42 44 6 6 32 14 6 6 
82,in,6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
82,out,7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
83,in,7 7 71 45 28 7 7 3 45 7 7 7 39 7 
83,out,6 6 70 44 29 6 6 2 44 6 6 6 38 6 
84,in,7 7 35 15 7 7 7 7 45 7 7 23 7 39 
84,out,6 6 34 14 6 6 6 6 44 6 6 22 6 38 
85,in,6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
85,out,7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
86,in,6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
86,out,7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
87,in,7 7 15 71 25 7 7 7 7 7 45 7 7 7 7 35 7 71 39 7 
87,out,6 6 14 70 24 6 6 6 6 6 44 6 6 6 6 34 6 70 38 6 
88,in,31 36 36 36 34 36 31 34 31 31 36 34 70 34 70 34 
88,out,30 37 37 37 35 37 30 35 30 30 37 35 71 35 71 35 
89,in,7 15 15 7 15 7 43 7 19 19 7 7 19 19 15 7 15 45 7 19 19 15 
89,out,6 14 14 6 14 6 42 6 18 18 6 6 18 18 14 6 14 44 6 18 18 14 
